response	trial_nr	t_start	t_set	t_ball	t_release	t_response	t_goal	t_change
n	43	689.2353882260013	0.2770872139990388	0.5945985089983878	0	0.34167883500049356	0.944667664998633	0.528383289998601
n	44	692.4342855840005	0.27908541199940373	0.5946694619997288	0	0.28671395699893765	0.9272170349995577	0.5280549239996617
v	45	695.6159372029997	0.28144806700038316	0.5953790140010824	0	0.14437724499839533	0.9279230310003186	-695.6159372029997
n	46	698.7987740480003	0.21850642299978063	0.5282443400010379	0	0.14910911099832447	0.8774282060003316	0.4616422680010146
v	47	701.2062915550014	0.09036637099961808	0.40336487799868337	0	0.1301596459998109	0.7525220190000255	-701.2062915550014
n	48	703.4887635340001	0.09674715500113962	0.4034727369999018	0	0.28760713299925555	0.7527528270002222	0.43685687000106554
v	49	705.7713432550008	0.1412702729994635	0.45357995700032916	0	0.13895723999848997	0.8026949459999742	0.4536097919990425
n	50	708.1039245020002	0.2098568540004635	0.5201528220004548	0	0.14852290599810658	0.8526909659994999	0.6864810360002593
v	51	711.2118458900004	0.2854598079993593	0.5945945349994872	0	0.22146445299949846	0.9437742049994995	0.7288776380009949
n	52	713.6854497189997	0.18714301399995747	0.5035296630012454	0	0.14307785599885392	0.8361178200011636	0.5370000560014887
n	53	716.7767008090013	0.5040141029985534	0.8112230989991076	0	0.30413300699910906	1.1440780379998614	-716.7767008090013
v	54	720.1758427430013	0.4091280319989892	0.7277135770000314	0	0.2845393839979806	1.0769374139999854	0.7944360069996037
v	55	722.7825750760003	0.11421996500030218	0.4202636629997869	0	0.16934366999885242	0.7528680489995168	-722.7825750760003
n	56	725.7905380890006	0.39474962200074515	0.7113122619994101	0	0.1103682069988281	1.0438327779993415	0.7446859619994939
v	57	729.089601009	0.26337549799973203	0.5778934770005435	0	0.1607779739988473	0.9104780320012651	0.544610251999984
n	58	732.2551609130005	0.38605696500053455	0.6946313780008495	0	0.10295125199809263	1.0438227979993826	-732.2551609130005
v	59	734.8288051830004	0.29223808700044174	0.6036068320008781	0	0.03633134899791912	0.9360899650000647	0.7033218640008272
n	60	738.02011915	0.20577076799963834	0.5114066610003647	0	0.17688115300006757	0.8438090640011069	-738.02011915
v	61	741.1191291280011	0.2913351049992343	0.6124588989987387	0	0.12888088100044115	0.9438352079996548	0.711597030998746
v	62	744.3177580390002	0.26924452200000815	0.5783604250009375	0	0.21239109999805805	0.9275260710001021	-744.3177580390002
v	63	746.7757517540012	0.10546126499866659	0.42019849799908116	0	0.18459370499840588	0.7521804759999213	0.45304204099920753
n	64	749.783060314001	0.25013550800031226	0.5613684809995902	0	0.1401717139997345	0.9105379699994955	0.6949178949998895
n	1	756.3704047130013	0.5832232449993171	0.9050963599984243	0	0.16119946599974355	1.2376585299989529	0.9385129259990208
v	2	759.8633723069997	0.24213834400143242	0.5611767240006884	0	0.15620803099955083	0.8937096990011923	0.6945426020010927
n	3	763.0122605430006	0.06108961099926091	0.3780066199997236	0	0.3585310879989265	0.7277904910006328	0.34476705599990964
v	4	765.269347898	0.17224930900010804	0.4868492479999986	0	0.2566083099991374	0.8360694490002061	0.5536672580001323
v	5	767.6351908939996	0.20631573700120498	0.5202435120008886	0	0.16144427999824984	0.8694647400006943	0.6872855780002283
n	6	770.0344421990012	0.15948800799924356	0.47027162199992745	0	0.14844975999767485	0.8030492729994876	-770.0344421990012
