trial	speed	player_pos	ball_pos	direction	distance	broad	jitter	trial_nr	block
54	0.5	4	0	-	8.5	4.25	0.44999999999999996	10	7
19	0.5	4	0	+	4.0	2.0	0.75	11	7
39	0.5	4	0	+	6.5	3.25	0.75	12	7
25	0.5	4	0	-	5.0	2.5	0.75	13	7
43	0.5	4	0	+	7.0	3.5	0.75	14	7
29	0.5	4	0	-	5.5	2.75	0.9	15	7
12	0.5	4	0	+	3.0	1.5	0.9	16	7
10	0.5	4	0	-	3.0	1.5	0.9	17	7
4	0.5	4	0	+	2.0	1.0	0.75	18	7
16	0.5	4	0	+	3.5	1.75	0.9	19	7
50	0.5	4	0	-	8.0	4.0	0.6	20	7
56	0.5	4	0	+	8.5	4.25	0.3	21	7
23	0.5	4	0	+	4.5	2.25	0.6	22	7
14	0.5	4	0	-	3.5	1.75	0.44999999999999996	23	7
40	0.5	4	0	+	6.5	3.25	0.6	24	7
37	0.5	4	0	-	6.5	3.25	0.6	25	7
9	0.5	4	0	-	3.0	1.5	0.9	26	7
38	0.5	4	0	-	6.5	3.25	0.44999999999999996	27	7
24	0.5	4	0	+	4.5	2.25	0.44999999999999996	28	7
41	0.5	4	0	-	7.0	3.5	0.75	29	7
18	0.5	4	0	-	4.0	2.0	0.9	30	7
7	0.5	4	0	+	2.5	1.25	0.44999999999999996	31	7
8	0.5	4	0	+	2.5	1.25	0.44999999999999996	32	7
20	0.5	4	0	+	4.0	2.0	0.9	33	7
21	0.5	4	0	-	4.5	2.25	0.6	34	7
22	0.5	4	0	-	4.5	2.25	0.3	35	7
27	0.5	4	0	+	5.0	2.5	0.9	36	7
47	0.5	4	0	+	7.5	3.75	0.9	37	7
55	0.5	4	0	+	8.5	4.25	0.9	38	7
48	0.5	4	0	+	7.5	3.75	0.9	39	7
5	0.5	4	0	-	2.5	1.25	0.9	40	7
35	0.5	4	0	+	6.0	3.0	0.9	41	7
32	0.5	4	0	+	5.5	2.75	0.6	42	7
42	0.5	4	0	-	7.0	3.5	0.44999999999999996	43	7
46	0.5	4	0	-	7.5	3.75	0.6	44	7
2	0.5	4	0	-	2.0	1.0	0.75	45	7
11	0.5	4	0	+	3.0	1.5	0.3	46	7
49	0.5	4	0	-	8.0	4.0	0.3	47	7
26	0.5	4	0	-	5.0	2.5	0.9	48	7
31	0.5	4	0	+	5.5	2.75	0.75	49	7
34	0.5	4	0	-	6.0	3.0	0.3	50	7
36	0.5	4	0	+	6.0	3.0	0.9	51	7
30	0.5	4	0	-	5.5	2.75	0.9	52	7
52	0.5	4	0	+	8.0	4.0	0.44999999999999996	53	7
6	0.5	4	0	-	2.5	1.25	0.75	54	7
15	0.5	4	0	+	3.5	1.75	0.3	55	7
3	0.5	4	0	+	2.0	1.0	0.9	56	7
24	0.5	4	0	+	4.5	2.25	0.44999999999999996	1	8
25	0.5	4	0	-	5.0	2.5	0.75	2	8
50	0.5	4	0	-	8.0	4.0	0.6	3	8
26	0.5	4	0	-	5.0	2.5	0.9	4	8
52	0.5	4	0	+	8.0	4.0	0.44999999999999996	5	8
