response	trial_nr	t_start	t_set	t_ball	t_release	t_response	t_goal
v	126	358.6668587139993	0.05686528800106316	0.3732353699997475	0	0.4782663500009221	0.6894895320001524
n	127	360.8870609980004	0.16388799199921777	0.48575566899853584	0	0.10568755500025873	0.8011834159988211
v	128	363.21929056999943	0.11977836000005482	0.43579516600038914	0	0.09569301800001995	0.7513395690002653
n	129	365.50218367399975	0.20586907799952314	0.5187223699995229	0	0.12134393499945872	0.8178267980001692
v	130	368.58038882599976	0.27069012399988424	0.5898739690001094	0	0.15635478900003363	0.9053340219998063
n	131	371.0176809149998	0.2498884699998598	0.5679848919990036	0	0.10901574400122627	0.867227926999476
v	132	374.1468619949992	0.21619016499971622	0.538314925001032	0	0.12115869199988083	0.8536684450009489
n	133	376.5318673879992	0.16799142600029882	0.4856693740002811	0	0.17303885799992713	0.7847873700011405
v	134	379.57701570800054	0.27490714399937133	0.5895021739997901	0	0.1523869279990322	0.8885101299983944
v	135	382.72637872799896	0.04471802500120248	0.3564097300004505	0	0.10778437800036045	0.6715456450001511
n	136	384.92957750200003	0.0254706769992481	0.3356040449998545	0	0.06959969200033811	0.6342569539992837
v	137	387.82382326699917	0.22737149800013867	0.5404053300007945	0	0.12276002199905633	0.8392330990009214
v	138	390.9268317980004	0.12437359299838135	0.436283815999559	0	0.16358899099941482	0.7351101149997703
n	139	393.9244669559994	0.24766962200010312	0.5543582310001511	0	0.14387038399945595	0.8699650630005635
v	140	396.32671607799966	0.3340142790002574	0.6515443150001374	0	0.1888501979992725	0.950302446999558
v	141	399.53678850399956	0.2748084939994442	0.5900294969997049	0	0.12051011699986702	0.8891556310009037
v	142	402.6865563379997	0.1889942109992262	0.5065278370002488	0	0.11020067299978109	0.8217554330003622
n	143	405.03989620500033	0.0756716169998981	0.3859296289992926	0	0.021046111000032397	0.7010438439992868
v	144	407.27264256799936	0.03610985200066352	0.35199497699977655	0	0.16634309999972174	0.6676824349997332
