response	trial_nr	t_start	t_set	t_ball	t_release	t_response	t_goal	t_change	new_pos	correct
n	19	1000.050129448	1000.0857358510002	1000.8368014160001	0	1001.200744411	1001.2356427740001	1001.2194251790002	[-5]	0
v	20	1002.9664862959999	1003.0531256230001	1003.8036217509998	0	1004.1127394569999	1004.2013276490002	1004.1851527580002	[5]	0
n	21	1005.9316186760002	1006.1731585819998	1006.9240238990001	0	1007.2088571069999	1007.3003604099999	1007.2342705599999	[-5]	0
n	22	1009.0312281289998	1009.1255046699998	1009.8765267160002	0	1010.1369045890001	1010.2494726999998	1010.084011293	[5]	1
v	23	1011.9802295	1012.0220642300001	1012.7731625219999	0	1013.0969263540001	1013.1485589859999	1012.8832949339999	[-5]	1
n	24	1014.8792484969999	1014.910683132	1015.6616875999998	0	1015.9689768759999	1016.0476731819999	1015.9652312040002	[5]	1
n	25	1017.7783530800002	1017.9903752720002	1018.7411852089999	0	1019.0090145099998	1019.130106049	1019.113933011	[5]	1
v	26	1020.8604588190001	1020.9974888860002	1021.7486189880001	0	1022.0492989250001	1022.1458372890002	1022.1296292319998	[5]	0
v	27	1023.876683985	1024.0466290549998	1024.797903053	0	1025.1773759540001	1025.179619905	1025.1124225039998	[-5]	1
n	28	1026.908766907	1026.9190850139998	1027.6701851470002	0	1028.001224133	1028.0607424200002	1028.0445081799999	[-5]	0
b	29	1029.7914787640002	1029.806153945	1030.557408104	0	1030.8094670770001	1030.943097725	1030.55789993	[5]	
n	30	1032.1565770739999	1032.4149841520002	1033.1655877379999	0	1033.4414743090001	1033.542298324	1033.376539415	[5]	1
n	31	1035.272781664	1035.6149013509998	1036.365980869	0	1036.6174284469998	1036.741366483	1036.6751899370001	[5]	1
v	32	1038.47225579	1039.8700832250001	1040.6212918279998	0	1040.9295028739998	1041.0233244259998	1041.007157554	[5]	0
n	33	1042.754033748	1042.98259393	1043.7336848280002	0	1043.913545083	1044.1223832209998	1044.106237564	[5]	1
v	34	1045.8529757860001	1046.0781036950002	1046.8288504390002	0	1047.1456323520001	1047.2048172149998	1046.939069213	[5]	0
